compound,max_reversal_score,n_clusters,clusters,best_cluster,best_cluster_celltype,hits_raynaud,hits_ssc,hits_vasospasm,novelty_tier,moa,priority_score
WZ-3105,31.70424404551526,14,"0,12,13,14,15,16,17,2,3,4,6,7,8,9",16,capillary_EC,0,0,0,NOVEL_ALL,SRC/ABL inhibitor,1331.6
CGP-60474,25.097377470895623,13,"12,13,14,15,16,17,3,4,5,6,7,8,9",4,lymphatic_EC,0,0,0,NOVEL_ALL,CDK1/2 inhibitor,978.8
AS-605240,27.128213678946203,8,"10,13,16,3,4,6,8,9",3,venous_EC,0,0,0,NOVEL_ALL,PI3K-gamma inhibitor,651.1
PD-0325901,23.23849463517552,9,"10,14,17,3,4,6,7,8,9",4,lymphatic_EC,0,0,0,NOVEL_ALL,MEK1/2 inhibitor,627.4
QL-XII-47,33.549013499532165,5,"0,1,11,2,4",11,pericyte,0,0,0,NOVEL_ALL,MELK/FLT3 inhibitor,503.2
AT-7519,25.27824612177079,6,"12,15,16,17,4,6",4,lymphatic_EC,0,0,0,NOVEL_ALL,unknown,455.0
PD-184352,25.86311834142141,5,"10,5,7,8,9",7,pericyte,0,0,0,NOVEL_ALL,MEK1/2 inhibitor,387.9
WZ-4-145,25.422566420141493,5,"10,13,3,8,9",3,venous_EC,0,0,0,NOVEL_ALL,CDK8 inhibitor,381.3
PF-431396,22.75624050210073,5,"10,12,15,16,8",16,capillary_EC,0,0,0,NOVEL_ALL,unknown,341.3
AZD-5438,23.981806202968297,4,"13,4,5,8",4,lymphatic_EC,0,0,0,NOVEL_ALL,unknown,287.8
BI-2536,25.70034366039268,3,"0,1,11",11,pericyte,0,0,0,NOVEL_ALL,PLK1 inhibitor,231.3
XMD-1150,22.020466480917023,3,"0,1,2",0,arterial_EC_mixed,0,0,0,NOVEL_ALL,ERK5 inhibitor,198.2
AZD-7762,22.016065725407856,3,"0,14,9",9,pericyte,0,0,0,NOVEL_ALL,unknown,198.1
JNK-9L,21.101834699942984,3,"0,1,12",0,arterial_EC_mixed,0,0,0,NOVEL_ALL,unknown,189.9
I-BET151,22.470845091486733,2,"1,2",2,pericyte_mixed,0,0,0,NOVEL_ALL,unknown,134.8
